"General","Général"
"Module version","Version du module"
"Documentation","Documentation"
"Didomi Console","Console Didomi"
"Didomi Support","Support Didomi"
"Didomi Consent Management","Gestion des consentements Didomi"
"Enable module","Activer le module"
"Consent Notice Javascript embed code","Code d’intégration Javascript de la pop-in de consentement"
"Display Consent Choice Link In Footer","Afficher le lien de consultation des consentements dans le footer"
"Consent Choice Link Label","Label du lien de consultation des consentements"
"Condition Google Universal Analytics With A Vendor","Conditionner Google Universal Analytics par un vendor"
"Vendor ID for Google Universal Analytics Conditioning","ID du vendor pour le conditionnement Google Universal Analytics"
